id,latitude,longitude
471972442,18.9564113,72.8162882
472814070,19.0449884,72.8283022
472840749,19.0522092,72.8240185
473040979,19.0487091,72.8382377
473084113,18.9289139,72.8230904
473653179,19.0904079,72.8431898
474706650,18.9351518,72.8308331
475706090,19.0154514,72.8172262
475706096,19.0153262,72.8174932
475706109,19.0153744,72.8174828
476480258,19.0634498,72.862758
476480287,19.0611846,72.8633344
476489029,19.0603682,72.867086
477585773,18.9582204,72.8107094
482229835,19.0564019,72.8413704
482266865,19.0971334,72.8505975
482278859,19.0971269,72.8504571
482297168,19.0968086,72.851775
485953822,18.9442104,72.8292737
485966127,18.9437029,72.8287738
485973491,18.9256615,72.832671
485977586,18.9258869,72.829771
485984666,18.9244997,72.8320832
486003937,18.9294865,72.8218744
486004376,18.9119707,72.8211857
486004411,18.9117657,72.8214285
486024085,18.9329676,72.8280381
486040864,18.928281,72.8314561
486040927,18.927535,72.8314562
486050696,18.9267276,72.8338021
486327564,18.9439091,72.8232099
486385346,18.9529405,72.8161715
486390343,18.9415088,72.8238294
486400792,18.9335067,72.8237094
486400969,18.9336141,72.8237409
486404283,18.9315627,72.8229659
486404313,18.9295743,72.8219277
486415686,18.9557658,72.812609
489586507,18.9432554,72.8290966
489593886,18.9432197,72.8287185
489793165,18.9582005,72.8318274
493911795,18.9699567,72.8408452
493925065,19.0266746,72.8548297
493925226,18.9795887,72.8492282
493925820,18.9768468,72.8453015
493966540,18.9687295,72.8404847
493966574,18.9686423,72.8405742
493966589,18.9688701,72.8406271
493966602,18.9688506,72.8405323
494358449,18.9646643,72.8203045
494358456,18.9644894,72.820324
494358464,18.9646975,72.8201833
495097987,18.9269674,72.8339277
495098003,18.9300026,72.834993
506224364,18.9462574,72.795704
506224427,18.946483,72.7959691
519469450,19.1538311,72.8283261
519469451,19.1530013,72.8300443
519469509,19.1512108,72.8330179
519469620,19.149073,72.8297192
519469646,19.1488702,72.8329306
519469651,19.1489353,72.8313794
528622444,18.9268629,72.8197459
528644180,18.9253926,72.8252426
528644332,18.925732,72.8257724
528644374,18.9267074,72.8269694
528743522,18.9325843,72.8300096
528743523,18.9326536,72.8294296
528743527,18.9327444,72.8285722
528785879,19.046075,72.9088011
528785934,19.0457367,72.9092659
528785949,19.0457295,72.9090118
528890449,18.9778908,72.8449403
529576444,19.0505199,72.9005172
536673200,19.0190864,72.8365307
536726906,19.0181088,72.8475601
536726910,19.0181805,72.8477931
536726942,19.0174022,72.8477426
536839590,18.930053,72.8347247
561165513,18.9644317,72.8201825
561165516,18.9645274,72.8200709
561165518,18.9646543,72.820101
561165526,18.9645724,72.8203486
564738600,19.2814793,72.8583559
564738608,19.283342,72.8634521
564738616,19.2855995,72.8691657
564739419,19.2822638,72.8582766
564739421,19.2849663,72.8573412
564740607,19.2783808,72.8791126
564741511,19.2766862,72.8813065
564741520,19.2736797,72.8821361
564741521,19.2730545,72.8824032
564764334,19.2989854,72.8409571
564764371,19.2943715,72.84589
564764420,19.2926572,72.8611636
564765453,19.2989778,72.8412091
564782061,19.2989924,72.8548035
